epoch,accuracy,loss,val_accuracy,val_loss
0,0.3828125,1.3843109607696533,0.625,0.8639631271362305
1,0.65625,0.7839909791946411,0.71875,0.6099849939346313
2,0.8046875,0.42717769742012024,0.65625,0.8500959873199463
3,0.953125,0.1435403674840927,0.65625,0.8434820771217346
4,0.96875,0.08849836140871048,0.625,1.3019566535949707
5,0.9765625,0.05928206071257591,0.625,2.111091136932373
6,1.0,0.02036328800022602,0.75,1.122514009475708
7,1.0,0.012418525293469429,0.75,0.9100798964500427
8,0.9921875,0.017779774963855743,0.71875,1.153485894203186
9,0.9921875,0.016126569360494614,0.6875,1.338712453842163
10,1.0,0.020868392661213875,0.71875,1.4594651460647583
11,1.0,0.00717535987496376,0.75,1.4603302478790283
